NUM_MISS ALIGNMENT_INFO THRESHOLD SISRS_sites num_contigs num_contigs2 contig_length num_pi_sites
0 alignment_pi_locs_m0.txt 1 78001 1936 1936 2716333 38756
2 alignment_pi_locs_m0.txt 1 78001 1941 1941 2722106 38781
4 alignment_pi_locs_m0.txt 1 78001 1942 1942 2723137 38795
6 alignment_pi_locs_m0.txt 1 78001 2122 2122 2964431 41698
0 alignment_pi_locs_m2.txt 1 218698 2227 2227 3124864 43476
2 alignment_pi_locs_m2.txt 1 218698 2231 2231 3130207 43491
4 alignment_pi_locs_m2.txt 1 218698 2236 2236 3137366 43543
6 alignment_pi_locs_m2.txt 1 218698 2264 2264 3180368 43864
0 alignment_pi_locs_m4.txt 1 338766 2273 2273 3196942 44046
2 alignment_pi_locs_m4.txt 1 338766 2281 2281 3216175 44149
4 alignment_pi_locs_m4.txt 1 338766 2290 2290 3230233 44279
6 alignment_pi_locs_m4.txt 1 338766 2294 2294 3239125 44327
0 alignment_pi_locs_m6.txt 1 499514 2298 2298 3245248 44387
2 alignment_pi_locs_m6.txt 1 499514 2303 2303 3256332 44449
4 alignment_pi_locs_m6.txt 1 499514 2303 2303 3256332 44455
6 alignment_pi_locs_m6.txt 1 499514 2306 2306 3264044 44525
0 alignment_pi_locs_m0.txt 2 78001 2002 2002 2802284 40101
2 alignment_pi_locs_m0.txt 2 78001 2002 2002 2802284 40099
4 alignment_pi_locs_m0.txt 2 78001 2002 2002 2802284 40119
6 alignment_pi_locs_m0.txt 2 78001 2002 2002 2802284 40097
0 alignment_pi_locs_m2.txt 2 218698 2234 2234 3130901 43555
2 alignment_pi_locs_m2.txt 2 218698 2234 2234 3130901 43550
4 alignment_pi_locs_m2.txt 2 218698 2234 2234 3130901 43560
6 alignment_pi_locs_m2.txt 2 218698 2234 2234 3130901 43584
0 alignment_pi_locs_m4.txt 2 338766 2259 2259 3175331 43870
2 alignment_pi_locs_m4.txt 2 338766 2259 2259 3175331 43869
4 alignment_pi_locs_m4.txt 2 338766 2259 2259 3175331 43876
6 alignment_pi_locs_m4.txt 2 338766 2259 2259 3175331 43879
0 alignment_pi_locs_m6.txt 2 499514 2278 2278 3217231 44271
2 alignment_pi_locs_m6.txt 2 499514 2278 2278 3217231 44275
4 alignment_pi_locs_m6.txt 2 499514 2278 2278 3217231 44272
6 alignment_pi_locs_m6.txt 2 499514 2278 2278 3217231 44279
0 alignment_pi_locs_m0.txt 3 78001 1868 1868 2630608 38241
2 alignment_pi_locs_m0.txt 3 78001 1868 1868 2630608 38235
4 alignment_pi_locs_m0.txt 3 78001 1868 1868 2630608 38254
6 alignment_pi_locs_m0.txt 3 78001 1868 1868 2630608 38227
0 alignment_pi_locs_m2.txt 3 218698 2190 2190 3063335 43157
2 alignment_pi_locs_m2.txt 3 218698 2190 2190 3063335 43165
4 alignment_pi_locs_m2.txt 3 218698 2190 2190 3063335 43154
6 alignment_pi_locs_m2.txt 3 218698 2190 2190 3063335 43151
0 alignment_pi_locs_m4.txt 3 338766 2234 2234 3139709 43708
2 alignment_pi_locs_m4.txt 3 338766 2234 2234 3139709 43724
4 alignment_pi_locs_m4.txt 3 338766 2234 2234 3139709 43728
6 alignment_pi_locs_m4.txt 3 338766 2234 2234 3139709 43713
0 alignment_pi_locs_m6.txt 3 499514 2255 2255 3182547 44080
2 alignment_pi_locs_m6.txt 3 499514 2255 2255 3182547 44086
4 alignment_pi_locs_m6.txt 3 499514 2255 2255 3182547 44077
6 alignment_pi_locs_m6.txt 3 499514 2255 2255 3182547 44081
0 alignment_pi_locs_m0.txt 4 78001 1713 1713 2439313 36222
2 alignment_pi_locs_m0.txt 4 78001 1713 1713 2439313 36209
4 alignment_pi_locs_m0.txt 4 78001 1713 1713 2439313 36224
6 alignment_pi_locs_m0.txt 4 78001 1713 1713 2439313 36244
0 alignment_pi_locs_m2.txt 4 218698 2142 2142 2993731 42699
2 alignment_pi_locs_m2.txt 4 218698 2142 2142 2993731 42650
4 alignment_pi_locs_m2.txt 4 218698 2142 2142 2993731 42663
6 alignment_pi_locs_m2.txt 4 218698 2142 2142 2993731 42671
0 alignment_pi_locs_m4.txt 4 338766 2200 2200 3088043 43404
2 alignment_pi_locs_m4.txt 4 338766 2200 2200 3088043 43382
4 alignment_pi_locs_m4.txt 4 338766 2200 2200 3088043 43438
6 alignment_pi_locs_m4.txt 4 338766 2200 2200 3088043 43416
0 alignment_pi_locs_m6.txt 4 499514 2226 2226 3143248 43935
2 alignment_pi_locs_m6.txt 4 499514 2226 2226 3143248 43928
4 alignment_pi_locs_m6.txt 4 499514 2226 2226 3143248 43881
6 alignment_pi_locs_m6.txt 4 499514 2226 2226 3143248 43879
0 alignment_pi_locs_m0.txt 5 78001 1493 1493 2156354 32702
2 alignment_pi_locs_m0.txt 5 78001 1493 1493 2156354 32701
4 alignment_pi_locs_m0.txt 5 78001 1493 1493 2156354 32676
6 alignment_pi_locs_m0.txt 5 78001 1493 1493 2156354 32706
0 alignment_pi_locs_m2.txt 5 218698 2088 2088 2928082 42119
2 alignment_pi_locs_m2.txt 5 218698 2088 2088 2928082 42125
4 alignment_pi_locs_m2.txt 5 218698 2088 2088 2928082 42136
6 alignment_pi_locs_m2.txt 5 218698 2088 2088 2928082 42121
0 alignment_pi_locs_m4.txt 5 338766 2147 2147 3018125 43023
2 alignment_pi_locs_m4.txt 5 338766 2147 2147 3018125 43011
4 alignment_pi_locs_m4.txt 5 338766 2147 2147 3018125 43024
6 alignment_pi_locs_m4.txt 5 338766 2147 2147 3018125 43013
0 alignment_pi_locs_m6.txt 5 499514 2179 2179 3079751 43500
2 alignment_pi_locs_m6.txt 5 499514 2179 2179 3079751 43472
4 alignment_pi_locs_m6.txt 5 499514 2179 2179 3079751 43488
6 alignment_pi_locs_m6.txt 5 499514 2179 2179 3079751 43485
