Label	Genus	Remark	Species	Sample	Info
Centro_incanus_A1_Lago423	Centropogon	n.a.	incanus	A1	Lago423
Centro_mandonis_A12_Lago193	Centropogon	n.a.	mandonis	A12	Lago193
Siph_andinus_A16_Lago226	Siphocampylus	n.a.	andinus	A16	Lago226
Siph_rusbyanus_A17_Lago460	Siphocampylus	n.a.	rusbyanus	A17	Lago460
Centro_argutus_A177_Lago319	Centropogon	n.a.	argutus	A177	Lago319
Centro_baezanus_A178_1650	Centropogon	n.a.	baezanus	A178	1650
Centro_cornutus_A179_CBD219	Centropogon	n.a.	cornutus	A179	CBD219
Centro_mandonis_A180_Lagosn	Centropogon	n.a.	mandonis	A180	Lagosn
Centro_nervosus_A181_Lago412	Centropogon	n.a.	nervosus	A181	Lago412
Centro_peruvianus_A182_Lago386	Centropogon	n.a.	peruvianus	A182	Lago386
Centro_smithii_A184_Lago281	Centropogon	n.a.	smithii	A184	Lago281
Centro_solanifolius_A185_Lago284	Centropogon	n.a.	solanifolius	A185	Lago284
Centro_valerii_A186_Lago177	Centropogon	n.a.	valerioi	A186	Lago177
Centro_vargasii_A187_Lago356	Centropogon	n.a.	vargasii	A187	Lago356
Bur_cyclostigmata_A188_Lago309	Burmeistera	n.a.	cyclostigmata	A188	Lago309
Bur_isabellinus_A190_Lago405	Centropogon	n.a.	isabellinus	A190	Lago405
Bur_parviflora_A192_Lagosn	Burmeistera	n.a.	parviflora	A192	Lagosn
Bur_succulenta_A193_CDB297	Burmeistera	n.a.	succulenta	A193	CDB297
Bur_toroensis_A195_Lago302	Burmeistera	n.a.	toroensis	A195	Lago302
Centro_weberbaueri_A197_Lago328	Centropogon	n.a.	weberbaueri	A197	Lago328
Siph_tupaeformis_A199_Lago434	Siphocampylus	n.a.	tupaeformis	A199	Lago434
Siph_manettiflorus_A200_Herber	Siphocampylus	n.a.	manettiaeflorus	A200	Herber
Siph_correoides_A201_Lago413	Siphocampylus	n.a.	correoides	A201	Lago413
Siph_angustiflorus_A202_Lago417	Siphocampylus	n.a.	angustiflorus	A202	Lago417
Siph_krauseanus_A203_Lago418	Siphocampylus	n.a.	krauseanus	A203	Lago418
Siph_veteranus_A204_Lago385	Siphocampylus	n.a.	veteranus	A204	Lago385
Siph_smilax_A205_Lago248	Siphocampylus	n.a.	smilax	A205	Lago248
Siph_rosmarinifolius_A206_Lago357	Siphocampylus	n.a.	rosmarinifolius	A206	Lago357
Siph_matthaei_A207_Lago320	Siphocampylus	n.a.	matthaei	A207	Lago320
Siph_clotho_A208_Lago367	Siphocampylus	n.a.	clotho	A208	Lago367
Siph_corynoides_A209_Lago350	Siphocampylus	n.a.	corynoides	A209	Lago350
Siph_boliviensis_A210_Lago378	Siphocampylus	n.a.	boliviensis	A210	Lago378
Siph_tunarensis_A211_Lago232	Siphocampylus	n.a.	tunarensis	A211	Lago232
